,Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
652,653,535354070,20,6,60.0,9600,0,-1.0,0,0,0,0,0,0,0,0,0,0,5,6,1950,1950,1,0,2,2,-1,0.0,2,2,0,2.0,2.0,1,0,390.0,4,0.0,810.0,1200.0,0,2,1,0,1200,0,0,1200,0.0,0.0,1,0,3,1,2,6,0,0,-1.0,0,1950.0,2.0,1.0,246.0,2.0,2.0,1,126,0,0,0,0,0,-1.0,3,-1,0,8,2009,0,0,129900
653,654,535354100,20,6,50.0,8000,0,-1.0,0,0,0,0,0,0,0,0,0,0,6,6,1948,2002,1,0,1,1,-1,0.0,2,3,0,2.0,2.0,1,2,680.0,4,0.0,292.0,972.0,0,4,1,0,972,0,0,972,1.0,0.0,1,0,2,1,2,5,0,1,3.0,3,1948.0,0.0,1.0,240.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,-1,-1,0,5,2009,0,0,132000
654,655,535375010,20,6,53.0,5470,0,-1.0,0,0,0,0,0,14,0,0,0,0,3,5,1958,1958,1,0,6,7,-1,0.0,2,2,0,2.0,2.0,1,4,0.0,4,0.0,792.0,792.0,0,3,1,1,792,0,0,792,0.0,0.0,1,0,2,1,2,4,0,0,-1.0,0,1958.0,0.0,1.0,366.0,1.0,2.0,1,0,90,0,0,0,0,-1.0,-1,-1,0,8,2009,0,0,99900
655,656,535375050,50,6,60.0,10410,0,-1.0,0,0,0,0,0,14,0,0,0,2,5,7,1916,1987,1,0,4,5,-1,0.0,2,2,0,1.0,2.0,1,4,0.0,4,0.0,660.0,660.0,0,4,1,0,808,704,144,1656,0.0,0.0,2,1,3,1,2,8,3,0,-1.0,3,1916.0,0.0,1.0,180.0,1.0,1.0,2,0,0,0,140,0,0,-1.0,1,-1,0,8,2009,0,0,135000
656,657,535376060,60,6,60.0,10800,0,-1.0,0,0,0,0,0,14,0,0,0,1,5,7,1939,2006,1,0,1,1,-1,0.0,2,3,3,2.0,2.0,1,4,0.0,4,0.0,676.0,676.0,0,4,1,0,676,676,0,1352,0.0,1.0,2,0,4,1,3,7,0,0,-1.0,3,1939.0,0.0,2.0,720.0,2.0,2.0,1,187,0,128,0,0,0,-1.0,-1,-1,0,8,2009,0,0,149000
657,658,535377150,70,6,80.0,8146,0,-1.0,0,0,0,1,0,14,0,0,0,1,4,8,1900,2003,1,0,6,7,-1,0.0,3,3,3,1.0,2.0,1,4,0.0,4,0.0,405.0,405.0,0,3,1,0,717,322,0,1039,0.0,0.0,1,0,2,1,2,6,0,0,-1.0,3,1940.0,0.0,1.0,281.0,2.0,2.0,2,0,0,168,0,111,0,-1.0,-1,-1,0,5,2009,0,0,114000
658,659,535378020,30,6,52.0,9022,0,-1.0,0,0,0,0,0,14,0,0,0,0,5,8,1924,2006,1,0,1,1,-1,0.0,3,2,3,2.0,2.0,1,4,0.0,4,0.0,768.0,768.0,0,4,1,0,792,0,0,792,0.0,0.0,1,0,2,1,3,5,0,0,-1.0,3,1924.0,0.0,1.0,240.0,1.0,1.0,2,316,0,120,0,0,0,-1.0,-1,-1,0,5,2009,0,0,109500
659,660,535378120,30,6,60.0,10230,0,1.0,0,0,0,0,0,14,0,0,0,0,5,7,1925,1950,1,0,6,7,-1,0.0,2,2,3,2.0,2.0,1,4,0.0,4,0.0,1054.0,1054.0,0,4,1,0,1078,0,0,1078,0.0,0.0,1,0,3,1,4,6,0,0,-1.0,3,1987.0,0.0,1.0,264.0,2.0,2.0,2,0,0,0,0,112,0,-1.0,3,-1,0,12,2009,0,0,125000
660,661,535381040,50,6,60.0,10410,0,1.0,0,0,0,0,0,14,0,0,0,2,4,5,1915,1950,1,0,6,7,-1,0.0,2,2,3,2.0,2.0,1,4,0.0,4,0.0,1313.0,1313.0,0,2,1,0,1313,0,1064,2377,0.0,0.0,2,0,3,1,3,8,3,1,2.0,3,1954.0,0.0,2.0,528.0,2.0,2.0,1,0,0,432,0,0,0,-1.0,-1,-1,0,6,2009,0,0,142900
661,662,535382100,70,6,60.0,7200,0,-1.0,0,0,0,1,0,14,5,0,0,1,7,9,1910,2008,1,0,1,1,-1,0.0,3,3,1,2.0,2.0,1,4,0.0,4,0.0,560.0,560.0,0,4,1,0,930,760,0,1690,0.0,0.0,2,0,4,1,3,5,0,0,-1.0,3,2008.0,0.0,2.0,624.0,2.0,2.0,1,0,0,112,0,0,0,-1.0,-1,-1,0,8,2009,0,0,156500
663,664,535383070,50,6,90.0,5400,0,-1.0,0,0,0,1,0,14,5,0,0,2,4,6,1920,1950,1,0,12,13,-1,0.0,1,2,1,2.0,2.0,1,2,315.0,1,105.0,420.0,840.0,0,4,1,0,840,534,0,1374,0.0,0.0,1,0,2,1,2,6,0,0,-1.0,3,1967.0,2.0,1.0,338.0,2.0,2.0,1,0,0,198,0,0,0,-1.0,-1,-1,0,10,2009,0,0,105000
664,665,535383110,30,6,60.0,10800,0,1.0,0,0,0,0,0,14,0,0,0,0,5,7,1920,1950,1,0,2,2,-1,0.0,2,2,3,2.0,2.0,1,4,0.0,4,0.0,720.0,720.0,0,2,0,0,846,0,0,846,0.0,0.0,1,0,2,1,3,4,0,0,-1.0,3,1980.0,2.0,2.0,576.0,2.0,2.0,2,0,0,0,0,0,0,-1.0,-1,-1,0,6,2009,0,0,106000
665,666,535383120,30,6,60.0,10800,0,1.0,0,0,0,1,0,14,0,0,0,0,3,5,1890,1998,1,0,1,1,-1,0.0,2,2,3,2.0,2.0,1,4,0.0,4,0.0,630.0,630.0,0,2,1,1,725,0,0,725,0.0,0.0,1,1,1,1,2,4,0,0,-1.0,3,1959.0,0.0,1.0,320.0,2.0,2.0,1,0,30,0,0,0,0,-1.0,-1,-1,0,11,2009,0,0,78500
666,667,535402010,90,6,81.0,9671,0,-1.0,0,0,0,1,0,0,5,0,2,1,6,5,1969,1969,1,0,6,7,0,480.0,2,2,0,2.0,2.0,1,4,0.0,4,0.0,1248.0,1248.0,0,2,1,0,1248,1296,0,2544,0.0,0.0,2,2,6,2,2,12,0,0,-1.0,0,1969.0,1.0,3.0,907.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,-1,-1,0,8,2009,0,0,190000
667,668,535402090,20,6,83.0,10143,0,-1.0,0,0,0,0,0,0,0,0,0,0,6,7,1963,1963,1,0,4,5,2,295.0,2,2,0,2.0,2.0,1,1,384.0,4,0.0,996.0,1380.0,0,1,1,0,1380,0,0,1380,0.0,0.0,1,1,3,1,2,6,0,0,-1.0,0,1963.0,0.0,1.0,364.0,2.0,2.0,1,0,0,0,0,216,0,-1.0,3,-1,0,6,2009,0,0,154000
668,669,535402270,20,6,77.0,11500,0,-1.0,1,0,0,0,0,0,0,0,0,0,6,4,1967,1967,1,0,4,5,-1,0.0,1,2,0,2.0,1.0,1,0,872.0,1,60.0,108.0,1040.0,0,3,1,0,1040,0,0,1040,1.0,0.0,1,0,3,1,2,6,2,1,0.0,0,1967.0,1.0,2.0,480.0,2.0,2.0,1,0,0,156,0,0,0,-1.0,1,-1,0,5,2009,0,0,163000
669,670,535402330,90,6,91.0,11643,0,-1.0,0,0,0,0,0,0,5,0,2,1,5,5,1969,1969,1,0,6,7,2,368.0,2,2,0,2.0,2.0,1,5,500.0,4,0.0,748.0,1248.0,0,2,1,0,1338,1296,0,2634,1.0,1.0,2,2,6,2,2,12,0,0,-1.0,3,1969.0,0.0,4.0,968.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,-1,-1,0,8,2009,0,0,200000
670,671,535403190,20,6,62.0,8010,0,-1.0,0,0,0,0,0,0,0,0,0,0,6,9,1958,2007,0,0,2,2,-1,0.0,3,3,0,2.0,2.0,2,3,745.0,4,0.0,206.0,951.0,0,3,1,0,951,0,0,951,1.0,0.0,1,0,2,1,3,6,0,0,-1.0,3,1985.0,0.0,2.0,480.0,2.0,2.0,1,0,0,42,0,0,0,-1.0,-1,2,450,9,2009,0,0,143500
671,672,535403210,20,6,90.0,10454,0,-1.0,1,0,0,1,0,0,0,0,0,0,6,6,1957,1957,0,0,5,0,0,143.0,2,2,0,2.0,2.0,1,1,546.0,4,0.0,559.0,1105.0,0,3,1,1,1105,0,0,1105,0.0,0.0,1,0,3,1,2,5,0,0,-1.0,3,1957.0,0.0,1.0,308.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,-1,-1,0,4,2009,0,0,135000
672,673,535403280,20,6,64.0,8712,0,-1.0,1,0,0,0,0,0,0,0,0,0,5,7,1957,2000,0,0,6,7,-1,0.0,2,3,0,2.0,2.0,2,0,860.0,4,0.0,132.0,992.0,0,2,1,0,1306,0,0,1306,1.0,0.0,1,0,2,1,2,5,0,0,-1.0,3,1968.0,0.0,1.0,756.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,-1,-1,0,5,2009,0,0,153000
674,675,535426150,20,6,80.0,9000,0,-1.0,1,2,0,0,1,0,0,0,0,0,6,6,1958,1958,5,2,2,2,2,82.0,2,2,0,3.0,2.0,0,4,0.0,4,0.0,160.0,160.0,0,1,1,0,1142,0,0,1142,0.0,0.0,1,0,2,1,2,5,0,1,3.0,2,1958.0,1.0,1.0,384.0,2.0,2.0,1,0,28,64,0,0,0,-1.0,-1,-1,0,4,2009,0,0,113500
675,676,535450070,40,6,60.0,12144,0,-1.0,0,0,0,0,0,0,0,0,0,0,5,7,1949,1950,1,0,4,5,-1,0.0,3,2,0,2.0,2.0,1,1,375.0,4,0.0,457.0,832.0,0,3,1,0,1036,0,232,1268,0.0,0.0,1,0,3,1,2,6,0,1,3.0,0,1949.0,0.0,1.0,288.0,2.0,2.0,1,0,28,0,0,0,0,-1.0,-1,3,0,9,2009,0,0,133000
676,677,535450160,90,6,60.0,8544,0,-1.0,0,0,0,1,0,0,0,0,2,0,3,4,1950,1950,1,0,0,3,-1,0.0,2,2,4,-1.0,-1.0,-1,-1,0.0,-1,0.0,0.0,0.0,3,1,0,1,1040,0,0,1040,0.0,0.0,2,0,2,2,2,6,0,0,-1.0,3,1987.0,0.0,2.0,400.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,-1,-1,0,6,2009,0,0,92900
677,678,535450200,50,6,60.0,8064,0,-1.0,0,0,0,0,0,0,5,0,0,2,6,5,1950,1950,1,0,2,2,-1,0.0,2,2,0,2.0,2.0,3,1,621.0,4,0.0,174.0,795.0,0,3,0,0,765,368,0,1133,0.0,0.0,1,0,3,1,2,5,0,0,-1.0,3,1989.0,0.0,2.0,900.0,2.0,2.0,1,0,0,0,0,231,0,-1.0,-1,-1,0,12,2009,2,3,128500
678,679,535451170,90,6,60.0,7200,0,-1.0,0,0,0,0,0,0,0,0,2,0,4,5,1949,1950,1,0,0,14,-1,0.0,2,2,4,-1.0,-1.0,-1,-1,0.0,-1,0.0,0.0,0.0,3,1,0,2,1040,0,0,1040,0.0,0.0,2,0,2,2,2,6,0,0,-1.0,3,1956.0,0.0,2.0,420.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,-1,-1,0,6,2009,0,0,90000
679,680,535451250,50,6,60.0,7200,0,-1.0,0,0,0,0,0,0,0,0,0,2,5,4,1950,1982,1,0,1,2,-1,0.0,2,2,0,2.0,2.0,1,1,180.0,0,352.0,676.0,1208.0,0,3,1,1,1136,768,0,1904,1.0,0.0,1,1,3,1,2,7,2,0,-1.0,0,1950.0,0.0,1.0,240.0,2.0,2.0,1,0,0,168,0,0,0,-1.0,2,-1,0,5,2009,0,0,138000
680,681,535452090,20,6,71.0,7350,0,-1.0,0,0,0,0,0,0,0,0,0,0,5,6,1958,1958,0,0,0,3,-1,0.0,2,2,0,2.0,2.0,1,4,0.0,4,0.0,1041.0,1041.0,0,3,1,0,1041,0,0,1041,0.0,0.0,1,0,3,1,2,6,0,0,-1.0,0,1958.0,1.0,1.0,294.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,3,-1,0,3,2009,0,0,128000
681,682,535452100,20,6,70.0,7560,0,-1.0,0,0,0,0,0,0,0,0,0,0,5,6,1958,1965,0,0,0,0,-1,0.0,2,2,0,2.0,2.0,1,5,504.0,4,0.0,525.0,1029.0,0,2,1,0,1339,0,0,1339,0.0,0.0,1,0,3,1,2,6,2,0,-1.0,0,1958.0,0.0,1.0,294.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,1,-1,0,5,2009,2,3,139000
682,683,535452140,20,6,60.0,7200,0,-1.0,0,0,0,1,0,0,0,0,0,0,5,7,1952,1952,1,0,6,7,-1,0.0,2,3,0,2.0,3.0,1,2,630.0,0,102.0,0.0,732.0,0,2,1,0,732,0,0,732,1.0,0.0,1,0,2,1,2,4,0,0,-1.0,3,1952.0,0.0,1.0,240.0,2.0,2.0,1,0,68,0,0,0,0,-1.0,-1,-1,0,9,2009,0,0,118900
683,684,535453100,80,6,80.0,8000,0,-1.0,0,0,0,0,0,0,0,0,0,4,5,5,1959,1959,1,0,0,0,-1,0.0,2,2,0,3.0,2.0,3,3,433.0,1,95.0,0.0,528.0,0,2,1,0,1183,0,0,1183,1.0,0.0,1,0,3,1,2,6,0,0,-1.0,0,1959.0,1.0,1.0,288.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,3,-1,0,7,2009,0,0,138000
684,685,535453200,20,6,70.0,7931,0,-1.0,0,0,0,0,0,0,0,0,0,0,5,5,1959,1959,0,0,0,0,-1,0.0,2,2,0,2.0,2.0,1,0,1148.0,4,0.0,0.0,1148.0,0,2,1,0,1148,0,0,1148,1.0,0.0,1,0,3,1,2,6,0,0,-1.0,0,1959.0,0.0,1.0,672.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,2,-1,0,7,2009,0,0,132500
685,686,535454100,50,6,60.0,10800,0,-1.0,0,0,0,0,0,0,5,0,0,2,4,7,1949,1996,1,0,6,7,-1,0.0,2,2,0,2.0,2.0,1,4,0.0,4,0.0,832.0,832.0,0,2,1,2,832,629,0,1461,0.0,0.0,2,0,4,1,2,6,0,0,-1.0,3,1949.0,0.0,1.0,384.0,2.0,2.0,1,0,204,0,0,0,0,-1.0,-1,-1,0,8,2009,0,0,133500
686,687,535454160,50,6,60.0,8064,0,-1.0,0,0,0,1,0,0,5,0,0,2,6,7,1948,1994,1,0,6,7,-1,0.0,2,2,0,2.0,2.0,1,5,120.0,4,0.0,744.0,864.0,0,2,1,0,1064,0,431,1495,0.0,0.0,1,0,3,1,2,6,0,0,-1.0,3,1994.0,0.0,2.0,576.0,2.0,2.0,1,180,36,0,0,0,0,-1.0,-1,-1,0,8,2009,2,3,135000
687,688,535475010,60,6,76.0,7570,0,-1.0,0,0,0,1,0,0,0,0,0,1,6,5,1964,1964,1,0,4,5,2,420.0,2,2,0,2.0,2.0,1,4,0.0,4,0.0,780.0,780.0,0,2,1,0,993,813,0,1806,0.0,0.0,1,1,4,1,2,8,0,0,-1.0,0,1964.0,0.0,2.0,483.0,2.0,2.0,1,0,55,0,0,0,0,-1.0,-1,-1,0,3,2009,0,0,144750
688,689,535476110,90,6,75.0,8604,0,-1.0,1,0,0,0,0,0,0,0,2,3,5,7,1978,1978,1,0,5,0,2,124.0,2,3,0,3.0,2.0,3,3,941.0,4,0.0,0.0,941.0,0,3,1,0,941,0,0,941,1.0,0.0,1,0,2,1,3,4,0,0,-1.0,0,1978.0,0.0,2.0,564.0,2.0,2.0,1,0,40,0,0,0,0,-1.0,-1,-1,0,11,2009,0,0,145000
689,690,535476240,20,6,80.0,7936,0,-1.0,0,0,0,0,0,0,0,0,0,0,6,6,1963,1963,0,0,4,5,-1,0.0,2,2,0,2.0,2.0,1,0,826.0,4,0.0,219.0,1045.0,0,2,1,0,1045,0,0,1045,1.0,0.0,1,0,3,1,2,6,0,1,1.0,0,1963.0,1.0,1.0,264.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,-1,-1,0,4,2009,0,0,127000
690,691,535477150,20,6,60.0,6600,0,-1.0,0,0,0,0,0,0,2,0,0,0,5,5,1962,1962,0,0,6,7,-1,0.0,2,2,0,2.0,2.0,1,4,0.0,4,0.0,894.0,894.0,0,3,0,0,894,0,0,894,0.0,0.0,1,0,2,1,2,5,0,0,-1.0,3,1962.0,0.0,1.0,308.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,-1,-1,0,8,2009,0,0,109500
692,693,902102080,50,8,60.0,10440,0,1.0,0,0,0,1,0,14,0,0,0,1,5,6,1910,1981,1,0,2,2,-1,0.0,2,2,1,2.0,2.0,1,4,0.0,4,0.0,440.0,440.0,0,3,1,0,682,548,0,1230,0.0,0.0,1,1,2,1,2,5,0,0,-1.0,3,1966.0,0.0,2.0,440.0,2.0,2.0,1,74,0,128,0,0,0,-1.0,1,-1,0,5,2009,0,0,110000
693,694,902103100,50,8,68.0,4080,0,1.0,0,0,0,0,0,14,0,0,0,2,6,8,1935,1998,1,0,2,2,-1,0.0,2,2,1,2.0,2.0,1,4,0.0,4,0.0,901.0,901.0,0,3,1,0,861,517,0,1378,0.0,0.0,1,0,3,1,3,6,0,0,-1.0,3,1920.0,0.0,1.0,162.0,1.0,1.0,0,54,0,40,0,0,0,-1.0,-1,-1,0,6,2009,0,0,128900
694,695,902103120,90,8,57.0,10307,0,1.0,0,0,0,0,0,14,0,0,2,1,6,5,1910,1950,1,0,2,2,-1,0.0,2,2,0,2.0,2.0,2,5,633.0,4,0.0,339.0,972.0,0,3,0,1,972,972,0,1944,1.0,0.0,2,0,4,2,2,12,0,0,-1.0,3,1920.0,0.0,2.0,324.0,1.0,2.0,2,0,28,169,0,0,0,-1.0,-1,-1,0,6,2009,0,0,103500
695,696,902103170,50,8,52.0,5720,0,-1.0,0,0,0,0,0,14,5,0,0,2,5,6,1941,1950,1,0,2,2,-1,0.0,2,2,0,2.0,2.0,1,4,0.0,4,0.0,676.0,676.0,0,4,1,0,676,455,0,1131,0.0,0.0,1,1,3,1,2,5,0,0,-1.0,3,1941.0,0.0,1.0,200.0,2.0,2.0,1,26,0,0,0,0,0,-1.0,-1,-1,0,8,2009,0,3,66500
696,697,902105050,50,8,90.0,15660,0,-1.0,0,0,0,0,0,14,0,0,0,2,5,8,1910,2003,1,0,1,1,-1,0.0,2,3,0,2.0,2.0,1,4,0.0,4,0.0,240.0,240.0,0,2,1,0,810,496,0,1306,0.0,0.0,1,1,3,1,3,6,0,0,-1.0,3,1959.0,0.0,2.0,472.0,1.0,2.0,2,0,0,0,0,0,0,-1.0,1,-1,0,7,2009,0,0,130000
698,699,902106010,70,8,57.0,6406,0,1.0,0,0,0,0,0,14,0,0,0,1,5,6,1939,1950,1,0,2,2,-1,0.0,2,2,3,2.0,2.0,1,2,421.0,4,0.0,269.0,690.0,0,2,1,1,868,690,0,1558,0.0,0.0,1,1,3,1,2,7,0,1,3.0,3,1939.0,0.0,2.0,400.0,2.0,2.0,1,0,36,0,0,182,0,-1.0,1,-1,0,10,2009,0,0,150000
699,700,902106060,70,8,60.0,6600,0,-1.0,0,0,0,1,0,14,0,0,0,1,5,4,1892,1965,1,0,2,2,-1,0.0,2,2,5,2.0,2.0,1,4,0.0,4,0.0,994.0,994.0,0,2,0,0,1378,994,0,2372,0.0,0.0,2,0,4,2,2,11,3,0,-1.0,0,1985.0,1.0,1.0,432.0,2.0,2.0,1,0,287,0,0,0,0,-1.0,-1,-1,0,12,2009,0,0,107500
701,702,902109140,90,8,60.0,7596,0,1.0,0,0,0,0,0,14,5,0,2,1,5,5,1952,1952,0,0,2,2,2,360.0,2,2,0,2.0,2.0,1,4,0.0,4,0.0,960.0,960.0,0,3,1,0,960,1000,0,1960,0.0,0.0,2,0,4,2,2,10,0,0,-1.0,3,1952.0,0.0,2.0,400.0,2.0,2.0,2,0,0,0,0,0,0,-1.0,-1,-1,0,7,2009,2,0,124500
702,703,902110080,60,8,60.0,3378,0,1.0,0,2,0,0,0,14,0,0,0,1,7,8,1946,1992,1,0,4,5,-1,0.0,2,3,0,2.0,2.0,1,4,0.0,4,0.0,651.0,651.0,0,3,1,0,707,682,0,1389,0.0,0.0,1,1,3,1,2,6,0,2,3.0,3,1947.0,0.0,1.0,240.0,2.0,2.0,0,0,0,126,0,0,0,-1.0,-1,-1,0,9,2009,0,0,135000
704,705,902135020,20,8,60.0,6000,0,0.0,0,1,0,0,1,14,0,0,1,0,4,4,1953,1953,1,0,6,7,-1,0.0,1,2,0,1.0,2.0,1,4,0.0,4,0.0,936.0,936.0,0,2,0,0,936,0,0,936,0.0,0.0,1,0,2,1,2,4,3,0,-1.0,3,1974.0,0.0,2.0,576.0,2.0,2.0,1,0,32,112,0,0,0,-1.0,-1,-1,0,2,2009,0,0,93000
705,706,902201110,50,8,50.0,6000,0,-1.0,0,0,0,0,0,14,0,0,0,2,5,7,1950,1970,1,0,2,2,-1,0.0,2,4,0,2.0,2.0,1,0,384.0,4,0.0,384.0,768.0,0,2,1,1,768,560,0,1328,0.0,0.0,1,1,3,1,2,6,0,0,-1.0,3,1950.0,0.0,1.0,308.0,2.0,2.0,1,0,12,0,0,0,0,-1.0,1,-1,0,3,2009,0,0,129500
706,707,902202150,190,8,50.0,6000,0,-1.0,0,0,0,0,0,14,0,0,1,2,5,4,1954,1954,1,0,2,2,-1,0.0,2,2,0,2.0,2.0,1,4,0.0,4,0.0,811.0,811.0,0,2,1,1,811,576,0,1387,0.0,0.0,2,0,3,2,3,7,0,0,-1.0,1,1954.0,0.0,1.0,256.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,-1,-1,0,11,2009,0,0,93000
707,708,902204080,30,8,62.0,7404,0,-1.0,0,0,0,1,0,14,0,0,0,0,4,6,1920,1950,1,0,6,7,-1,0.0,2,2,3,1.0,2.0,1,4,0.0,4,0.0,861.0,861.0,0,2,1,0,861,0,0,861,0.0,0.0,1,0,2,1,2,5,0,0,-1.0,3,1920.0,0.0,2.0,288.0,2.0,2.0,2,0,0,128,0,0,0,-1.0,-1,-1,0,11,2009,6,0,80000
708,709,902205010,30,8,50.0,5925,0,-1.0,0,0,0,1,0,14,0,0,0,0,2,4,1940,1950,1,0,6,7,-1,0.0,2,3,3,-1.0,-1.0,-1,-1,0.0,-1,0.0,0.0,0.0,0,1,0,1,612,0,0,612,0.0,0.0,1,0,1,1,2,4,0,0,-1.0,3,1965.0,0.0,1.0,308.0,2.0,1.0,2,0,0,25,0,0,0,-1.0,-1,-1,0,10,2009,0,0,45000
710,711,902206260,30,8,50.0,5784,0,-1.0,0,0,0,0,0,14,5,0,0,0,5,8,1938,1996,1,0,6,7,-1,0.0,2,2,3,1.0,2.0,1,4,0.0,4,0.0,190.0,190.0,0,3,1,1,886,0,0,886,0.0,0.0,1,0,2,1,2,4,0,0,-1.0,0,1938.0,0.0,1.0,273.0,2.0,2.0,1,144,20,80,0,0,0,-1.0,-1,-1,0,12,2009,0,0,91300
711,712,902207170,30,8,60.0,8520,0,-1.0,0,0,0,0,0,14,0,0,0,0,5,8,1923,1950,1,0,9,11,-1,0.0,3,2,1,1.0,2.0,1,4,0.0,4,0.0,624.0,624.0,0,2,1,0,792,0,0,792,0.0,0.0,1,0,2,1,2,5,0,0,-1.0,3,1963.0,0.0,1.0,287.0,2.0,2.0,1,0,0,81,0,0,0,-1.0,3,-1,0,2,2009,0,0,99500
713,714,902301060,70,8,60.0,9600,0,-1.0,0,0,0,0,0,14,0,0,0,1,4,4,1910,1950,1,0,1,1,-1,0.0,3,3,3,1.0,2.0,1,4,0.0,4,0.0,677.0,677.0,0,2,1,0,833,677,0,1510,0.0,0.0,2,0,3,1,3,7,0,0,-1.0,3,1974.0,0.0,2.0,720.0,2.0,2.0,2,0,0,160,0,0,0,-1.0,-1,-1,0,6,2009,0,0,87500
714,715,902301080,50,8,50.0,3500,0,1.0,0,0,0,0,0,14,0,0,0,2,5,7,1947,1950,1,0,7,10,-1,0.0,2,2,0,2.0,2.0,1,5,312.0,4,0.0,408.0,720.0,0,2,1,0,720,564,0,1284,0.0,0.0,1,1,2,1,2,5,0,0,-1.0,3,1948.0,0.0,1.0,240.0,2.0,2.0,1,0,35,0,0,0,0,-1.0,4,-1,0,4,2009,0,0,110000
715,716,902325070,75,8,90.0,8100,0,-1.0,0,0,0,1,0,14,0,0,0,5,5,5,1898,1965,0,0,7,10,-1,0.0,2,2,1,2.0,2.0,1,4,0.0,4,0.0,849.0,849.0,0,2,0,1,1075,1063,0,2138,0.0,0.0,2,0,2,3,2,11,0,0,-1.0,3,1910.0,0.0,2.0,360.0,1.0,0.0,2,40,156,0,0,0,0,-1.0,1,-1,0,11,2009,0,0,106000
716,717,902326030,70,8,65.0,11700,0,0.0,1,0,0,1,0,14,0,0,0,1,7,7,1880,2003,2,0,9,11,-1,0.0,3,2,5,2.0,1.0,1,4,0.0,4,0.0,1240.0,1240.0,1,2,0,0,1320,1320,0,2640,0.0,0.0,1,1,4,1,3,8,0,1,3.0,3,1950.0,0.0,4.0,864.0,2.0,2.0,2,181,0,386,0,0,0,-1.0,-1,-1,0,5,2009,0,0,265979
717,718,902327070,70,8,70.0,8400,0,-1.0,0,0,0,1,0,14,5,0,0,1,6,7,1900,1950,1,0,9,3,-1,0.0,2,2,3,1.0,3.0,2,4,0.0,4,0.0,917.0,917.0,0,3,1,1,1090,917,0,2007,0.0,0.0,2,0,3,1,4,8,0,0,-1.0,3,1930.0,0.0,1.0,357.0,2.0,2.0,1,0,235,0,0,0,0,-1.0,-1,-1,0,6,2009,0,0,160000
718,719,902329080,70,8,60.0,3600,0,1.0,0,0,0,0,0,14,0,0,0,1,6,7,1917,2007,1,0,9,11,-1,0.0,2,2,3,2.0,2.0,1,4,0.0,4,0.0,624.0,624.0,0,4,1,0,664,624,0,1288,1.0,0.0,1,0,3,1,4,5,0,1,3.0,0,1917.0,0.0,1.0,280.0,2.0,2.0,2,0,103,0,0,0,0,-1.0,-1,-1,0,5,2009,0,0,119000
719,720,902330040,70,8,121.0,17671,0,1.0,0,0,0,1,0,14,5,0,0,1,8,9,1882,1986,1,0,2,2,-1,0.0,3,3,3,2.0,2.0,1,0,216.0,4,0.0,700.0,916.0,0,3,1,0,916,826,0,1742,0.0,0.0,1,1,4,1,3,8,0,1,3.0,0,1925.0,0.0,2.0,424.0,2.0,2.0,0,0,169,0,0,0,0,-1.0,-1,-1,0,11,2009,0,0,168000
721,722,902401130,70,8,50.0,9000,0,-1.0,0,0,0,0,0,14,5,0,0,1,7,9,1920,1988,0,0,1,1,-1,0.0,2,3,1,2.0,2.0,1,2,624.0,4,0.0,26.0,650.0,0,4,1,0,832,650,0,1482,0.0,1.0,1,0,3,1,2,7,0,0,-1.0,3,1930.0,0.0,2.0,324.0,2.0,2.0,1,0,0,0,0,0,0,-1.0,-1,-1,0,7,2009,0,0,143000
